filename,acne,dark circle,darkspot,dry,normal skin,oily,pores,skin redness,wrinkle
dry-113-_jpg.rf.b257d6977c14457b60b8665045671a41.jpg,0,0,0,1,0,0,0,0,0
Condition-Rosacea_jpg.rf.fb5dd1961e6fe485013175ce999a3c3d.jpg,0,0,0,0,0,0,0,1,0
Berminyak211_jpg.rf.22526a47c58d6f4148b05a4928299089.jpg,0,0,0,1,0,0,0,0,0
berminyak__-12-_jpg.rf.297fb381b3163826e36927911d82a64a.jpg,0,0,0,1,0,0,0,0,0
berminyak__-34-_jpg.rf.827595ff3010dac765f18717ffbbfd9b.jpg,0,0,0,1,0,0,0,0,0
Image_11_jpg.rf.bb5630dd0b1beebf918681ed7a157c25.jpg,1,0,0,0,0,0,0,0,0
Berminyak-27-_JPG_jpg.rf.054e8be8da38292c27bfd0b8309946cd.jpg,0,0,0,0,0,1,0,0,0
dry4_jpg.rf.919b3be5200b94fdd88af5e072427e03.jpg,0,0,0,1,0,0,0,0,0
dry7_jpg.rf.caee7634375d52b30b5e9cdc6393185f.jpg,0,0,0,1,0,0,0,0,0
Berminyak28_jpg.rf.ff69b801d0427396eb0436f912dd7012.jpg,0,0,0,0,0,1,0,0,0
dry6_jpg.rf.e30f883e0091c06838508e8b0458b9a3.jpg,0,0,0,1,0,0,0,0,0
Berminyak45_jpg.rf.4be6c748f57a4a27fd275779959152bf.jpg,0,0,0,0,0,1,0,0,0
c0500787-800px-wm_jpg.rf.bcf5ba011c2ccb7c9b619f891e983026.jpg,0,0,0,0,0,0,0,1,0
Berminyak302_jpg.rf.fc454c4332f9400837e5c3379aac2c48.jpg,0,0,0,0,0,1,0,0,0
Image_17_jpg.rf.30e8959536f856d5e11cf6ced158c520.jpg,0,0,0,0,0,1,0,0,0
dry-112-_jpg.rf.acba2243ee177534d32867e5fb80bc9e.jpg,0,0,0,1,0,0,0,0,0
berminyak__-23-_jpg.rf.192348bec6951ff8cfe4b8fe8cac274e.jpg,0,0,0,1,0,0,0,0,0
Image_16_jpeg_jpg.rf.5b062a16258e2adf72feb274326cc7ec.jpg,0,0,0,0,0,1,0,0,0
dry31_jpg.rf.8b6cc130244fa13a1dd573255303ab8c.jpg,0,0,0,1,0,0,0,0,0
berminyak__-27-_jpg.rf.2c7641850b236946cbf065ec3df5e28b.jpg,0,0,0,1,0,0,0,0,0
Image_112_jpg.rf.361d1990aa0866a848e017fc0e6cebf1.jpg,0,0,1,0,0,0,0,0,0
Image_115_jpg.rf.b4b093c5ad2c5c1431da53bae7351efd.jpg,0,0,0,0,0,1,0,0,0
Image_24_jpg.rf.4ca5e334259fed140def61e640d1fdbc.jpg,0,0,1,0,0,0,0,0,0
Image_115_jpg.rf.3d3f4b3f5d21e7b57f1082f8d2a4daf5.jpg,0,1,0,0,0,0,0,0,0
berminyak__-20-_jpg.rf.d794f0da4c34a82c8b5fc380dc9790bc.jpg,0,0,0,1,0,0,0,0,0
Berminyak-12-_jpg.rf.d8095a7e4bb101a180bf4d6f3b721660.jpg,0,0,0,0,0,1,0,0,0
Image_29_jpg.rf.b14ad2caa3ce8e011b8ec796d54afd15.jpg,0,1,0,0,0,0,0,0,0
download-1-_jpg.rf.c45e2d0191f7948b6518223b758ef65a.jpg,0,1,0,0,0,0,0,0,0
berminyak__-26-_jpg.rf.230cbdec2119aa6c1903b725a2177360.jpg,0,0,0,1,0,0,0,0,0
Image_122_jpg.rf.62867ea4f1bb024fe30b3ce19baa73b2.jpg,0,0,0,1,0,0,0,0,0
berminyak__-22-_jpg.rf.f60c801b2978f22e48221fa3541997e9.jpg,0,0,0,1,0,0,0,0,0
berminyak__-19-_jpg.rf.df603da0a510d772168aaf66556c8f7e.jpg,0,0,0,1,0,0,0,0,0
Image_34_jpg.rf.ec980847353c4b117439da50b9af433b.jpg,1,0,0,0,0,0,0,0,0
dry-166-_jpg.rf.fba9b5462a7d3e283ae15ab49884550b.jpg,0,0,0,0,0,1,0,0,0
dry-108-_jpg.rf.2d533a64748c5f40de01d4544ec2d1fe.jpg,0,0,0,1,0,0,0,0,0
berminyak__-2-_jpg.rf.203deb306d4ab843ff535e5feebc3865.jpg,0,0,0,1,0,0,0,0,0
da-bi-kich-ung_9b3f3875_d7b1_4c14_b67c_5e6434550409_jpg.rf.de7d98da4e957fefd1f5b63aaab1f4a1.jpg,0,0,0,0,0,0,0,1,0
Image_121_png_jpg.rf.a03c8de1961c701db4c67f0e5aa0d63f.jpg,0,1,0,0,0,0,0,0,0
berminyak__-38-_jpg.rf.16f2865dfe9293decb4bbedec7881842.jpg,0,0,0,1,0,0,0,0,0
dry-117-_jpg.rf.3ef9d67aec714efabef1d2e1255cbe55.jpg,0,0,0,1,0,0,0,0,0
dry-skin_10_jpeg_jpg.rf.002ed684813981f9f9ec21086a3ba7c9.jpg,0,0,0,1,0,0,0,0,0
Image_14_jpg.rf.f34cae41f32c93180c0b458b26c88d1d.jpg,0,0,0,0,0,1,0,0,0
Image_112_jpg.rf.c7e26956cb14b1aad6e722f1cc558392.jpg,0,0,0,0,0,1,0,0,0
Image_65_jpg.rf.13d7810ea28c80cca7af207b4ab387d4.jpg,0,0,1,0,0,0,0,0,0
Image_14_JPG_jpg.rf.d9e7a4586ddbddd58d737daea0a336f5.jpg,1,0,0,0,0,0,0,0,0
berminyak__-41-_jpg.rf.430765f93e294af296c235590cf54bf0.jpg,0,0,0,0,0,1,0,0,0
c3bf013ac75c78c5d78fc8f7277af52f_jpg.rf.7f3da24bec36c4d18cd5fa1f6b914678.jpg,0,0,0,1,0,0,0,0,0
berminyak__-3-_jpg.rf.df8180e45897f70e7c8a9005039e43f0.jpg,0,0,0,1,0,0,0,0,0
Image_35_jpg.rf.0144f6dbca65b890f91aec19db915b5d.jpg,0,0,1,0,0,0,0,0,0
Image_27_jpg.rf.179d531d6841e581e9309b00f6974951.jpg,0,0,1,0,0,0,0,0,0
da-mong-noi-mach-mau-1-2_png_jpg.rf.1fa0be190e96d1da6781dc1f2cebf3c8.jpg,0,0,0,0,0,0,0,1,0
Image_111_jpg.rf.972f6332156dd256c64c832d74461f53.jpg,1,0,0,0,0,0,0,0,0
berminyak__-40-_jpg.rf.dc290071ffe3d65b972991bb98aa7aec.jpg,0,0,0,1,0,0,0,0,0
Berminyak295_jpg.rf.c9b2bf6e857d06485d51c423752acf33.jpg,0,0,0,0,0,1,0,0,0
berminyak__-24-_jpg.rf.a9a76fdfeeb5e575a52b0ea944f0932a.jpg,0,0,0,1,0,0,0,0,0
Image_117_jpg.rf.bdf259304af4ff96037e009b4547fb8e.jpg,0,1,0,0,0,0,0,0,0
Berminyak96_jpg.rf.3330d1c01641a7040aaf6fbdce63e46c.jpg,0,0,0,0,0,1,0,0,0
Image_158_jpg.rf.3636d31607fdf74a1e68ecdcfa94e38d.jpg,0,1,0,0,0,0,0,0,0
Image_111_jpg.rf.3596dc2f80a7e72713aafa3c63a0678a.jpg,1,0,0,0,0,0,0,0,0
Image_34_jpg.rf.88f8da5595bc301343f8582a35163095.jpg,1,0,0,0,0,0,0,0,0
chung-do-mat2_jpg.rf.6cb538cb6e16a5931609f3d2b25fa4e9.jpg,0,0,0,0,0,0,0,1,0
dry-258-_jpg.rf.934c1c05c41d6b4962311a187a9ce062.jpg,0,0,0,0,0,0,1,0,0
Image_150_jpg.rf.0e95219158b07435d586161bd65e6285.jpg,0,0,1,0,0,0,0,0,0
dry-skin_116_jpeg_jpg.rf.72ca7179fa12abfcf107d720c83d77e4.jpg,0,0,0,1,0,0,0,0,0
berminyak__-39-_jpg.rf.dcd249721e4e020914fe87e0eee1e3d0.jpg,0,0,0,0,0,1,0,0,0
berminyak__-36-_jpg.rf.c1de4569df594a768cceaae5fb9003ce.jpg,0,0,0,1,0,0,0,0,0
Image_57_jpg.rf.fc82734a0204f0c731a3eb2e41645c69.jpg,0,1,0,0,0,0,0,0,0
Image_34_jpg.rf.04fa9ecdfcf295b347d2fdd70ccf1f04.jpg,0,0,0,0,0,1,0,0,0
Image_29_jpg.rf.659303ebab70451e4a9b8f1a5c834f34.jpg,0,0,0,1,0,0,0,0,0
Berminyak9_jpg.rf.848893763dd1667ca019652787b6c7f7.jpg,0,0,0,0,0,1,0,0,0
berminyak__-10-_jpg.rf.518ec86e372ecb8083ce6188d704a0af.jpg,0,0,0,1,0,0,0,0,0
